1,DU_Kronos,University of Dhaka
2,Paradigm Shift,Indian Institute of Technology - Indore
3,Leaf Papad,Indian Institute of Technology - Bombay
4,AuditPass,Indian Institute of Technology - Delhi
5,Cats On Trees,IIIT-Delhi
6,DeS_FaTE,Indian Institute of Technology - Guwahati
7,WAs_Only,Netaji Subhash University Of Technology
8,Three of a Kind,Indian Institute of Technology - Madras
9,KUET_ScatterBrains,Khulna University of Engineering & Technology
10,IUT_slowFourierTransform,Islamic University of Technology
11,BUET Sommohito,Bangladesh University of Engineering and Technology
12,MIST_FrostByte_1.1,Military Institute of Science and Technology
13,AUST_CrackPlatoon,Ahsanullah University of Science and Technology
14,DIU_Um_nik_FanClub,Daffodil International University
15,Durbeen:Endgame,Mawlana Bhashani Science & Technology University
16,Pratyahara,Indian Institute Of Technology Jodhpur 
17,AIUB_Singularity,American International University - Bangladesh
18,End_of_an_Era,Bangladesh University of Professionals
19,BRACU_Crows,BRAC University
20,EWU_Exponential_Decay,East West University
21,2Golu1Tonu,"National Institute of Technology, Trichy"
22,ez_carry,Indian Institute of Technology - Varanasi
23,sust_bongcloud,Shahjalal University of Science and Technology
24,JU_kzvd4729,Jahangirnagar University
25,jaggus bois,"Birla Institute of Technology and Science, Pilani Campus"
26,Ab_Ki_Baar,Indian Institute of Technology - Kharagpur
27,Avengers: Age of Adhoc,"BITS-Pilani, Goa Campus"
28,ladaiLadai,International Institute of Information Technology - Hyderabad
29,CUET_Avalanche,Chittagong University of Engineering & Technology
30,Coding Tranquility,Indian Institute of Technology - Patna
31,BSMRSTU_DreamsOfSuccess,Bangabandhu Sheikh Mujibur Rahman Science and Technology University
32,MLE,ABES Engineering College
33,Logic Crushers,"PDPM Indian Institute of Information Technology Design & Manufacturing, Jabalpur"
34,Maanzar,Indian Institute of Technology - Patna
35,ICPuC,Indian Institute of Technology - Roorkee
36,:(){ :|:& };:,"BITS-Pilani, Hyderabad Campus"
37,ProofByOEIS,Motilal Nehru National Institute of Technology - Allahabad
38,AC47,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology
39,SEC_LATERALUS,Sylhet Engineering College
40,seg_fault,Indian Institute of Technology Tirupati
41,regretISMa,"Indian Institute of Technology (ISM), Dhanbad"
42,O(0),"National Institute of Technology Karnataka, Surathkul"
43,facelessmen3.0,Indian Institute of Technology - Kanpur
44,CoU_Unpredictable_3207,Comilla University
45,Silent 3lers,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar"
46,IIUC_LILIPUTS,International Islamic University Chittagong
47,NSTU_whizBang,Noakhali Science and Technology University
48,fightFight,International Institute of Information Technology - Hyderabad
49,StaticProgrammers,Indian Institute of Technology - Kharagpur
50,Kuch bhi,"Indian Institute of Information Technology, Sri City, Chittoor"
51,Yorozuya Forever,Indian Institute of Technology - Madras
52,RU Distilled_Coders,University of Rajshahi
53,PUC Eternals,Premier University Chittagong
54,borderline,Indian Institute of Technology - Hyderabad
55,SignBiT,FAST-National University of Computer and Emerging Sciences
56,Titans,Information Technology University Punjab
57,Renegades,Punjab University College of Information Technology
58,Chennai Sharks,Sri Sivasubramaniya Nadar College of Engineering
59,RUET_NotDecidedYet,Rajshahi University of Engineering & Technology
60,Cypher,NU-FAST Karachi
61,BForBruteForce,"Jadavpur University, Kolkata"
62,Code Warriors,Habib University
63,Team_Robust,University Of Barisal
