1,Three of a Kind,Indian Institute of Technology - Madras
2,seize_means_of_software_production,"Birla Institute of Technology and Science, Pilani Campus"
3,rng(weed),"Indian Institute of Technology (Banaras Hindu University), Varanasi"
4,Paradigm Shift,Indian Institute of Technology - Indore
5,Pay Attention,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar"
6,dpbois,Indian Institute of Technology - Roorkee
7,Dunno,Indian Institute of Technology - Delhi
8,Convex Chull,"Indian Institute of Technology (ISM), Dhanbad"
9,Seh Lenge Thoda,Indian Institute of Technology - Kharagpur
10,2b||!2b,Indian Institute of Technology - Roorkee
11,ICPuC,Indian Institute of Technology - Roorkee
12,DSA,Indian Institute of Technology - Kanpur
13,Ujjwal ke bharose,Indian Institute of Technology - Mandi
14,FLogic,International Institute of Information Technology - Hyderabad
15,Future Glory,Indian Institute of Technology - Bombay
16,lets_code_it,Indian Institute of Technology - Indore
17,Devil's Strategy,Indian Institute of Technology - Delhi
18,strawberryparfait,Indian Institute of Technology - Madras
19,AlgoManiaX,"BITS-Pilani, Goa Campus"
20,Seirin,Sri Sivasubramaniya Nadar College of Engineering
21,Triumvirate73,Indian Institute of Technology - Patna
22,Khauff,Indian Institute of Technology - Delhi
23,2Golu1Tonu,"National Institute of Technology, Trichy"
24,OutOfPractice,Indian Institute of Technology - Patna
25,Query Quest,Motilal Nehru National Institute of Technology - Allahabad
26,SegmentTea,International Institute of Information Technology - Bangalore
27,HelloWorldFinals,Delhi Technological University
28,Bongcloud II,The LNM Institute of Information Technology
29,Amritapuri nahi chhuta,National Institute of Technology Patna
30,WA_On_Pretest2,"Harcourt Butler Technical University, Kanpur"
31,Next_Level,International Institute of Information Technology - Naya Raipur
32,SemiRetired,Jalpaiguri Government Engineering College- Maulana Abul Kalam Azad University of Technology
33,GG_NC_KT Believers,Maulana Azad National Institute of Technology Bhopal
34,Red Black Three,National Institute of Technology Rourkela
35,Paneer Tikoo Masala,Veermata Jijabai Technological Institute
36,Akatsuki22,M.S. Ramaiah Institute of Technology
37,GenZ,University Institute of Technology - RGPV
38,Zenitsu,Rashtreeya Vidyalaya College of Engineering
39,_stack_it_up_,"Institute of Engineering & Technology, Lucknow"
40,TheOnesWhoKnock,"Indian Institute of Engineering Science and Technology, Shibpur"
