1,Three of a Kind,Indian Institute of Technology - Madras
2,Kaala Khatta,Indian Institute of Technology - Roorkee
3,Pay Attention,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar"
4,dpbois,Indian Institute of Technology - Roorkee
5,Convex Chull,"Indian Institute of Technology (ISM), Dhanbad"
6,Seh Lenge Thoda,Indian Institute of Technology - Kharagpur
7,2b||!2b,Indian Institute of Technology - Roorkee
8,AlphaZer0,IIT Bhubaneswar
9,fibonaughty,"Birla Institute of Technology and Science, Pilani Campus"
10,FLogic,International Institute of Information Technology - Hyderabad
11,Khauff,Indian Institute of Technology - Delhi
12,odyssey,Indian Institute of Technology - Guwahati
13,2Golu1Tonu,"National Institute of Technology, Trichy"
14,OutOfPractice,Indian Institute of Technology - Patna
15,queue_chahiye,"Indian Institute of Information Technology and Management, Gwalior"
16,AuditFail,Indian Institute of Technology - Delhi
17,ez_carry,"Indian Institute of Technology (Banaras Hindu University), Varanasi"
18,bubble_wrap,International Institute of Information Technology - Hyderabad
19,Code_Manga,Indian Institute of Technology - Madras
20,Shinigami OptimEyes,Indian Institute of Technology - Madras
21,TreeIdiots,"Indian Institute of Technology (Banaras Hindu University), Varanasi"
22,Demon Tanjiro,Indian Institute of Technology - Guwahati
23,randomization_goes_brrr_randomization_goes_brrr,Indian Institute of Information Technology - Allahabad
24,Ragnarok,Indian Institute of Technology - Indore
25,RatingTimeError_KuchBhi,Graphic Era University
26,BatonPass,International Institute of Information Technology - Hyderabad
27,Ternary Titans,L. D. College of Engineering
28,JigglyM0M0,"Indian Institute of Information Technology Design and Manufacturing, Kurnool"
29,just like TT,Indian Institute of Technology - Kharagpur
30,Royapuram Rockers,Sri Sivasubramaniya Nadar College of Engineering
31,Runtime Terrors,Indian Institute of Technology - Bombay
32,SIMLEX_BruteForce,Indian Institute of Technology - Kanpur
33,Recursion,National Institute of Technology Hamirpur
34,That's what C said,"National Institute of Technology, Durgapur"
35,Indian Tourister,"Indian Institute of Technology (ISM), Dhanbad"
36,respawn,Delhi Technological University
37,cpk14,IIT Bhubaneswar
38,Bongcloud II,The LNM Institute of Information Technology
39,RankSlayerCorp,Indian Institute of Technology - Patna
40,Kuch bhi likh de bhai,Motilal Nehru National Institute of Technology - Allahabad
41,BForBruteForce,Jadavpur University
42,BruteForces,Punjab Engineering College Chandigarh
43,Kumar_wala_Ayush,"Indian Institute of Information Technology, Lucknow"
44,Kuch_bhi,"BITS-Pilani, Hyderabad Campus"
45,GitMustWin,Sardar Patel Institute of Technology
46,GG_NC_KT Believers,Maulana Azad National Institute of Technology Bhopal
47,Cats on Trees,IIIT-Delhi
48,BrAinStOrm2022_FIGHTforAC,Pune Institute of Computer Technology
49,XoRiers,Pandit Deendayal Petroleum University
50,error404found,"National Institute of Technology Karnataka, Surathkul"
51,Red Black Three,National Institute of Technology Rourkela
52,abrakadabra,Kamla Nehru Institute of Technology
53,WhyPyPyWhy?,Vellore Institute of Technology
54,RMA,Indian Institute of Technology - Hyderabad
55,Pretest69,Sant Longowal Institute of Engineering and Technology
56,#define_lose_win,Thadomal Shahani Engineering College
57,Works_For_Me,National Institute of Technology Goa
58,TriKaalDarshi,Indian Institute of Technology - Jodhpur
59,0b1000101,"PDPM Indian Institute of Information Technology Design & Manufacturing, Jabalpur"
60,Yeh Sab Dogalapan Hai,National Institute of Technology Calicut
61,Potterheads,Jamia Milia Islamia
62,3 Idiots,"National Institute of Technology, Jamshedpur"
63,25_din_me_rating_double,Indian Institute of Technology - Gandhinagar
64,hmmmmm,Atal Bihari Vajpayee-Indian Institute of Information Technology and Management Gwalior
65,MBM TAKSHAK,"MBM University, Jodhpur"
66,Mahakal,University School of Information Technology
67,On Call,Indian Institute of Information Technology Pune
68,Beat_Yourself_Three Musketeers,Birla Vishvakarma Mahavidyalaya Engineering College
69,naamNhiAata,Sardar Vallabhbhai National Institute of Technology
70,mango_lassii,JSS Academy Of Technical Education
71,SAB_MOH_MAYA_H,Indian Institute of Information Technology Guwahati
72,smell_blood_in_the_water,Indian Institute of Information Technology Bhopal
73,Lazy_propagators,Indian Institute of Technology Jammu
74,Nothing,National Institute of Technology Patna
75,Simplifiers,Army Institute of Technology
76,MAN,Indian Institute of Technology Tirupati
77,Happykids,"BITS-Pilani, Goa Campus"
78,lemon,Indian Institute of Technology - Bhilai
79,Bit++,Rajasthan Technical University Kota
80,BruteForce,"Birla Institute of Technology, Mesra"
81,Grindcroww,"Indian Institute of Information Technology, Surat"
82,Team MarsOrbiters,"Indian Institute of Information Technology, Una"
83,ThankYouForYourInterest,"School of Engineering and Applied Science, Ahmedabad University"
84,Elite Trojans,Devang Patel Institute of Advance Technology and Research
85,Smart Bug Eliminators,MIT World Peace University
