832572,Bricks of Byteland,"Academy of Technology, Hooghly"
832611,Banana,"BITS-Pilani, Hyderabad Campus"
832624,SANGTHAN,"GLA University, Mathura"
832626,Kickstart_end,"Heritage Institute of Technology, Kolkata"
832630,cpk14,IIT Bhubaneswar
832631,Code Crusaders,"Indian Institute of Engineering Science and Technology, Shibpur"
832632,Intuition,Indian Institute of Information Technology Allahabad 
832634,Fenwick_Three,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR
832636,JigglyM0M0,"Indian Institute of Information Technology Design and Manufacturing, Kurnool"
832637,koders,Indian Institute of Information Technology Guwahati
832639,IntEqualsLongLong,Indian Institute of Information Technology Nagpur
832643,Getsuga Jujisho,"Indian Institute of Information Technology, Lucknow"
832648,Registerkrdo,Indian Institute of Technology Bhilai
832649,Leaf Papad,Indian Institute of Technology - Bombay
832650,Runtime Terrors,Indian Institute of Technology - Bombay
832653,C plus minus,Indian Institute of Technology - Guwahati
832654,Evergreen_Champs,Indian Institute of Technology - Indore
832656,facelessmen3.0,Indian Institute of Technology - Kanpur
832657,StaticProgrammers,Indian Institute of Technology - Kharagpur
832658,mutexicpc,Indian Institute of Technology - Kharagpur
832659,Three of a Kind,Indian Institute of Technology - Madras
832660,Yorozuya Forever,Indian Institute of Technology - Madras
832661,Code_Manga,Indian Institute of Technology - Madras
832663,Coding Tranquility,Indian Institute of Technology - Patna
832667,OneLastTime,Indian Institute of Technology - Ropar
832668,ez_carry,Indian Institute of Technology - Varanasi
832669,chokers,Indian Institute of Technology - Varanasi
832673,seg_fault,Indian Institute of Technology Tirupati
832676,Codificadores,"Institute of Engineering & Technology, Lucknow"
832678,ladaiLadai,International Institute of Information Technology - Hyderabad
832679,kesarPista,International Institute of Information Technology - Naya Raipur
832680,BForBruteForce,"Jadavpur University, Kolkata"
832681,ASP.JGEC,Jalpaiguri Government Engineering College- Maulana Abul Kalam Azad University of Technology
832684,code_busters,Kamla Nehru Institute of Technology
832688,Mummy_Bula_Rhi,Madan Mohan Malaviya University of Technology-Gorakhpur
832702,O(0),"National Institute of Technology Karnataka, Surathkul"
832703,AWC,"National Institute of Technology, Patna"
832705,coffee,"National Institute of Technology, Durgapur"
832706,TEAM DEAD ,"National Institute of Technology, Jamshedpur"
832708,O(sqrt(e^ipi)),"National Institute of Technology, Silchar"
832709,2Golu1Tonu,"National Institute of Technology, Trichy"
832710,GreenCoders,"National Institute of Technology, Trichy"
832719,ComplementZero,Pranveer Singh Institute of Technology
832735,Maximum Span*ing 3,Techno Main Salt Lake (formerly known as Techno India Salt Lake)
832739,Jai Shree Ram,The LNM Institute of Information Technology 
832839,Mavericks,SRM Institute Of Science and Technology
832842,NameLimitExceeded,"CMR INSTITUTE OF TECHNOLOGY, HYDERABAD"
832845,Sigma,Yeshwantrao Chavan College of Engineering
833115,A_decent_name,"Indian Institute of Technology (ISM), Dhanbad"
