832571,MLE,ABES Engineering College
832573,ObviouslyToXic,"Ajay Kumar Garg Engineering College, Ghaziabad"
832607,DontStopMeNow,Bhagwan Parshuram Institute of Technology
832608,We Dont Byte,"Birla Institute of Technology and Science, Pilani Campus"
832609,All_Correct,"Birla Institute of Technology, Mesra"
832610,srand(time(toShine));,"BITS-Pilani, Goa Campus"
832612,VELARIS,"Bundelkhand Institute of Engineering & Technology, Jhansi"
832613,xyz,"Chandigarh College of Engineering and Technology, Chandigarh"
832614,Index 0,Chandigarh University
832615,Bytecode Velocity,Chitkara Institute of Engineering and Technology
832616,DCElite,Darbhanga College of Engineering
832617,SOS(StuckOnSpecialist),Dayananda Sagar College of Engineering
832618,DCRUST,Deenbandhu Chhotu Ram University of Science and Technology Murthal Sonipat
832619,ohio_trio,Delhi Technological University(Formerly DCE)
832620,Silent 3lers,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar"
832621,Doodh_Mehenga_Hai,DJ Sanghvi College of Engineering
832622,knapsack,"Dr. B R Ambedkar National Institute of Technology, Jalandhar"
832623,Out of Bounds,"Gayatri Vidya Parishad College of Engineering, Visakhapatnam"
832625,Alpha-2,"Government College of Engineering, Karad"
832627,Gujarati_Medium,IIIT Vadodara
832628,KernelPanic++,IIIT Vadodara-International Campus Diu
832629,Cats On Trees,IIIT-Delhi
832633,queue_chahiye,"Indian Institute of Information Technology and Management, Gwalior"
832635,print(decode),Indian Institute of Information Technology Bhopal
832638,Cpp_Kittens,Indian Institute of Information Technology Kota
832640,Another_unknown_team,Indian Institute of Information Technology Pune
832641,H.N.T,"Indian Institute of Information Technology, Sri City, Chittoor"
832644,Curious Coders,"Indian Institute of Information Technology, Sonepat"
832645,Grindcroww,"Indian Institute of Information Technology, Surat"
832646,Team Blast,"Indian Institute of Information Technology,Una"
832647,iipe_codes,Indian Institute of Petroleum and Energy
832651,AuditPass,Indian Institute of Technology - Delhi
832652,Nothing_to_lose,Indian Institute of Technology - Delhi
832655,Pratyahara,Indian Institute Of Technology Jodhpur 
832662,L Aishwar,Indian Institute of Technology - Mandi
832665,ICPuC,Indian Institute of Technology - Roorkee
832666,AutoTransformers,Indian Institute of Technology - Roorkee
832671,PseudoCode,Indian Institute of Technology Goa 
832672,Run_time_Terror,Indian Institute of Technology Jammu
832675,Trie_ing,Institute of Engineering and Technology -DAVV -Indore
832677,Minus,International Institute of Information Technology - Bangalore
832682,Chhole Bhature,Jamia Millia Islamia
832683,mango_lassii,JSS Academy of Technical Education Noida
832685,Code_smashers,KIET GROUP OF INSTITUTIONS
832686,Goli beta Geometry nai,L.D. College of Engineering
832687,Code Reaper,Lakshmi Narain College of Technology
832689,RAG,Maharaja Agrasen Institute of Technology
832690,sponsored by telegram,Maharaja Surajmal Institute of Technology
832691,the high table,Mahindra University Ecole Centrale
832692,gladiators,Malviya National Institute of Technology Jaipur
832693,bagru_bois,Manipal University Jaipur
832694,Runtime Terror,Marathwada Mitra Mandals College of Engineering
832695,Bit by Bit,Maulana Azad National Institute of Technology Bhopal
832696,CPers,"Medi-Caps University, Indore"
832697,Codered,MLR Institute of Technology
832699,climb_to_top,National Institute of Technology - Agartala
832700,Works_For_Me,National Institute of Technology Goa
832701,Even bit loaders,National Institute of Technology Hamirpur
832704,Shri Raghuvar Ki Vanar Sena,"National Institute of Technology, Rourkela"
832707,Blitzkrieg Boys,"National Institute of Technology, Kurukshetra"
832711,Sammaan,"National institute of Technology, Uttarakhand"
832712,queue<T>,Netaji Subhas University Of Technology
832713,PersistentTriersUnofficial,Nirma University
832714,XoRiers,Pandit Deendayal Petroleum University
832715,Logic Crushers,"PDPM Indian Institute of Information Technology Design & Manufacturing, Jabalpur"
832716,KUCH BHI,"PDPM Indian Institute of Information Technology Design & Manufacturing, Jabalpur"
832718,BruteForce,Pimpri Chinchwad College of Engineering
832720,Segmentiers,Pune Institute of Computer Technology
832721,AAP,Punjab Engineering College Chandigarh
832722,Circuit Breakers,Rajasthan Technical University Kota
832723,Actual_Girl Fanclub,Rajiv Gandhi Institute Of Petroleum Technology
832724,Zeros,"Rajiv Gandhi Institute of Technology, Mumbai"
832725,code_blazers,Rajkiya Engineering College Azamgarh
832726,Geeklords,RV Institute of Technology and Management
832729,Iq_limit_exceeded,Sardar Vallabhbhai National Institute of Technology
832730,MegaByteMe,"School of Engineering and Applied Science, Ahmedabad University"
832731,Terrific Trio,Shambhunath Institute of Engineering and Technology
832732,Sokudo,"Shri Ramdeobaba College of Engineering and Management, Nagpur"
832733,Bits&Byts,Sri Eshwar College of Engineering
832734,Volatile Voids,Symbiosis Institute of Technology
832736,AC_Limit_Exceeded,Thadomal Shahani Engineering College
832737,Bitmasking,Thakur College of Engineering and Technology
832738,CodeGPT,Thapar Institute of Engineering & Technology
832740,Team.IT,"University Institute of Engineering & Technology, CSJMU, Kanpur"
832745,Breathless Until AC,"University Institute of Engineering and Technology, Panjab University"
832746,chatgptNaukriChor,University Institute of Technology - RGPV
832747,Mahakal,University School of Information Technology
832748,NBA,Veermata Jijabai Technological Institute
832750,Bhagwan_Bharose,"Vellore Institute of Technology, Bhopal"
832751,3bits,Vidyavardhinis College of Engineering and Technology
832752,vgec_coder,Vishwakarma Government Engineering College
832753,The Backbenchers ,"Visvesvaraya National Institute of Technology, Nagpur"
832754,Team of 11,VNR Vignana Jyothi Institute of Engineering & Technology
